WORDCOUNT RESULTS:  assets/thetorylover.txt
ablaze  =>  3
Sure  =>  1
preparations  =>  1
chords  =>  1
discouragements  =>  1
COMPANY  =>  2
ingenuity  =>  1
unassuming  =>  1
mistrusted  =>  1
dinner  =>  2
stakes  =>  1
warningly  =>  2
appearance  =>  8
ma  =>  1
lightning  =>  1
comer  =>  1
achieve  =>  1
mockery  =>  1
90  =>  2
Streets  =>  1
Parliament  =>  7
write  =>  8
also  =>  23
formal  =>  6
eagles  =>  2
locks  =>  1
relations  =>  2
book  =>  16
thereof  =>  1
balustrade  =>  2
hoard  =>  2
associations  =>  2
pointedly  =>  1
poultry  =>  1
our  =>  245
demeaned  =>  2
lantern  =>  5
Flores  =>  1
felicitations  =>  1
Old  =>  27
unchangeable  =>  1
gladly  =>  3
Gods  =>  1
curving  =>  4
thromping  =>  1
crushed  =>  1
soaked  =>  1
citizens  =>  7
pitched  =>  1
hoist  =>  1
unloaded  =>  1
sunshine  =>  6
dismissed  =>  4
plain  =>  26
consultations  =>  1
sentinel  =>  1
give  =>  67
feather  =>  1
headmost  =>  1
bravery  =>  8
fought  =>  12
browned  =>  1
wondered  =>  2
Halifax  =>  9
sheets  =>  2
mesure  =>  1
wings  =>  3
burn  =>  4
Russian  =>  3
wood  =>  6
Keays  =>  1
gayly  =>  16
windy  =>  4
defeated  =>  2
twenties  =>  1
try  =>  13
control  =>  1
Darlin  =>  1
fidget  =>  1
Terms  =>  2
size  =>  4
bidden  =>  3
prompting  =>  2
Are  =>  2
Importunate  =>  1
sank  =>  7
accuser  =>  3
begging  =>  4
THIRD  =>  2
Barrington  =>  2
glancing  =>  1
Now  =>  36
ear  =>  6
devotion  =>  1
cousins  =>  2
swiftly  =>  1
wile  =>  1
brandy  =>  11
usually  =>  5
adjust  =>  1
gallded  =>  2
nobly  =>  1
beggars  =>  1
lights  =>  8
acrost  =>  2
MORE  =>  1
briefly  =>  2
nobody  =>  19
took  =>  82
Hight  =>  1
Who  =>  13
hints  =>  1
established  =>  1
theirs  =>  2
Tide  =>  2
kissing  =>  1
Latin  =>  1
dish  =>  2
DIKE  =>  2
circling  =>  1
laden  =>  7
southward  =>  5
iron  =>  5
settled  =>  8
gloomy  =>  3
scowled  =>  1
singer  =>  2
ample  =>  3
darkness  =>  4
highroad  =>  1
queer  =>  2
Queen  =>  3
afire  =>  2
brigantine  =>  1
friendliness  =>  5
lockers  =>  1
affected  =>  1
b  =>  5
ostentatiously  =>  1
sentimental  =>  2
lords  =>  2
tempered  =>  3
courts  =>  1
Deed  =>  1
seagoing  =>  2
teacher  =>  3
fancied  =>  3
Hamlet  =>  1
Royalist  =>  3
swarmed  =>  1
knoll  =>  1
owd  =>  1
Mission  =>  1
terraced  =>  2
provokes  =>  1
arrow  =>  3
Ecce  =>  1
Bordeaux  =>  1
pence  =>  3
finish  =>  4
comprehended  =>  1
hammer  =>  1
Fifty  =>  1
nor  =>  26
Salem  =>  5
git  =>  4
wearers  =>  2
tugging  =>  1
resenting  =>  2
whitened  =>  1
soup  =>  1
started  =>  7
relieved  =>  1
hypertext  =>  1
fuss  =>  3
upon  =>  188
devil  =>  7
breeding  =>  1
stormy  =>  5
tongues  =>  2
clay  =>  1
Any  =>  1
Woodbury  =>  4
bars  =>  3
highly  =>  1
anchored  =>  2
blessed  =>  5
court  =>  8
once  =>  104
dry  =>  11
uncertainty  =>  7
narrowed  =>  1
stick  =>  4
pocketbook  =>  1
breadth  =>  1
succeed  =>  1
walked  =>  11
BETTY  =>  2
Indien  =>  6
fretfulness  =>  1
les  =>  4
disparaged  =>  1
desert  =>  3
Fox  =>  3
closed  =>  4
appealed  =>  1
lower  =>  18
unknown  =>  7
find  =>  66
thout  =>  1
lakes  =>  1
apparently  =>  1
library  =>  2
festival  =>  2
proud  =>  17
apples  =>  3
leather  =>  4
sage  =>  6
absentminded  =>  1
wince  =>  2
paper  =>  16
chariot  =>  1
exact  =>  3
bliss  =>  1
treasures  =>  1
birthright  =>  2
charges  =>  2
beset  =>  1
status  =>  4
RIGHTS  =>  1
sands  =>  1
nervous  =>  1
farmhouse  =>  1
scholar  =>  6
fluttering  =>  1
loom  =>  6
contemptuous  =>  2
FACE  =>  1
oh  =>  2
convent  =>  1
wintered  =>  1
stretch  =>  7
XVI  =>  2
silvered  =>  1
Tell  =>  7
stirring  =>  2
bodily  =>  1
Release  =>  1
ring  =>  18
effort  =>  13
excuses  =>  2
desolateness  =>  1
Thompson  =>  3
